model,imbalance_strategy,precision,recall,f1,roc_auc
Decision Tree,smote,0.8046875,0.9716981132075472,0.8803418803418803,0.7512775157232705
Random Forest,class_weight,0.8305084745762712,0.9245283018867925,0.875,0.8144654088050315
Logistic Regression,undersample,0.8691588785046729,0.8773584905660378,0.8732394366197183,0.8457154088050315
Logistic Regression,class_weight,0.875,0.8584905660377359,0.8666666666666667,0.8573113207547169
Random Forest,smote,0.8333333333333334,0.8962264150943396,0.8636363636363636,0.8069968553459119
Logistic Regression,smote,0.8725490196078431,0.839622641509434,0.8557692307692307,0.8612421383647798
Random Forest,undersample,0.8349514563106796,0.8113207547169812,0.8229665071770335,0.7824292452830189
Decision Tree,undersample,0.8058252427184466,0.7830188679245284,0.7942583732057417,0.7113797169811321
Decision Tree,class_weight,0.8372093023255814,0.6792452830188679,0.75,0.7617924528301887
